overall_qual,neighborhood,log_gr_liv_area,kitchen_qual,garage_cars,garage,bsmt_qual,log_1st_flr_sf,full_bath,fireplace_qu,remod_age_at_sale,age_at_sale
5,1,7.099201743553092,3,2.0,3.0,3.0,7.099201743553092,1,3.0,4,44
5,2,7.412160334945205,3,2.0,3.0,3.0,7.412160334945205,2,0.0,35,35
4,1,7.074116816197362,3,2.0,6.0,4.0,7.074116816197362,2,0.0,36,36
6,1,7.450660796211539,3,2.0,6.0,3.0,7.450660796211539,1,3.0,38,50
5,1,7.022868086082641,4,2.0,6.0,3.0,7.022868086082641,1,0.0,3,60
5,2,6.860663671448287,3,2.0,3.0,3.0,6.860663671448287,1,0.0,30,30
8,3,7.718685495198466,4,3.0,12.0,4.0,7.430707082545968,2,5.0,8,8
4,1,6.79794041297493,3,1.0,3.0,0.0,6.79794041297493,1,0.0,58,62
5,1,6.93537044601511,3,2.0,3.0,3.0,6.93537044601511,1,4.0,60,83
7,2,7.763446388727362,5,2.0,12.0,4.0,7.050122520269059,2,3.0,29,29
7,1,7.822044008185619,3,2.0,3.0,3.0,7.180069874302796,2,4.0,9,118
6,1,7.018401799069201,3,2.0,12.0,3.0,7.018401799069201,1,2.0,31,31
5,2,7.02108396428914,3,0.0,0.0,4.0,7.02108396428914,1,0.0,0,0
5,1,7.454719949364001,3,2.0,3.0,3.0,7.454719949364001,2,0.0,43,43
5,1,6.815639990074331,3,1.0,3.0,3.0,6.815639990074331,1,2.0,43,43
6,1,7.418180822726788,3,1.0,2.0,3.0,7.093404625868766,1,0.0,59,82
7,1,7.090076835776092,3,2.0,12.0,3.0,7.090076835776092,2,3.0,41,41
6,2,7.398174092970465,3,2.0,12.0,4.0,6.837332814685591,2,3.0,10,10
5,1,7.878534196140362,3,3.0,12.0,3.0,7.238496840894365,2,4.0,31,81
5,1,7.352441100243583,3,3.0,3.0,3.0,7.352441100243583,2,0.0,39,39
4,1,7.191429330036379,3,1.0,3.0,3.0,6.697034247666484,1,0.0,56,81
8,2,7.254177846456518,4,2.0,12.0,5.0,6.561030665896573,2,4.0,2,2
6,2,7.135687347028144,4,2.0,6.0,4.0,7.135687347028144,2,2.0,22,22
7,2,7.126890808898808,4,2.0,12.0,4.0,7.126890808898808,2,0.0,3,4
5,1,7.151485463904735,3,1.0,6.0,3.0,7.151485463904735,1,0.0,51,51
6,1,7.027314514039777,3,2.0,3.0,3.0,7.027314514039777,1,1.0,32,32
5,1,7.226209010100671,3,1.0,6.0,3.0,7.226209010100671,1,4.0,9,51
5,2,7.068172000388042,3,2.0,6.0,4.0,7.068172000388042,1,0.0,30,30
5,1,6.704414354964107,3,1.0,3.0,3.0,6.704414354964107,1,0.0,49,49
6,2,7.7226775164680035,4,2.0,3.0,4.0,7.7226775164680035,2,4.0,54,54
6,1,6.883462586413092,4,2.0,12.0,3.0,6.883462586413092,1,2.0,2,38
7,2,7.618251097876695,4,2.0,12.0,4.0,6.784457062637643,2,4.0,9,9
8,2,7.16703787691222,4,2.0,12.0,5.0,7.16703787691222,2,0.0,7,8
5,1,7.215239978730097,3,1.0,4.0,3.0,6.522092798170152,1,0.0,5,98
7,2,7.564757012905729,4,2.0,12.0,4.0,6.963189985870238,2,3.0,6,6
5,1,6.9957661563048505,3,1.0,6.0,3.0,6.9957661563048505,1,1.0,47,47
7,2,7.124478262493424,3,2.0,6.0,3.0,7.124478262493424,1,3.0,34,34
5,1,7.1929342212158,3,1.0,3.0,2.0,6.499787040655854,1,0.0,2,96
6,2,6.822197390620491,3,1.0,6.0,4.0,6.822197390620491,2,3.0,31,31
8,3,7.834392302910435,4,3.0,12.0,4.0,7.0925737159746784,2,3.0,12,12
7,2,7.273786317844895,3,2.0,12.0,4.0,7.273786317844895,2,0.0,19,19
6,2,7.519692404116539,4,2.0,12.0,3.0,7.519692404116539,2,3.0,37,37
6,2,7.416979621381154,3,2.0,12.0,4.0,6.859614903654202,2,3.0,6,6
5,1,7.16703787691222,2,1.0,3.0,3.0,7.16703787691222,2,4.0,11,86
4,1,7.1372784372603855,3,2.0,2.0,4.0,7.1372784372603855,0,0.0,39,39
9,3,7.355641102974253,5,2.0,12.0,5.0,7.355641102974253,2,4.0,1,1
8,3,7.935229539816907,5,3.0,12.0,4.0,7.306531398939505,2,3.0,13,14
5,1,7.047517221357296,3,1.0,12.0,3.0,7.047517221357296,1,0.0,47,47
5,1,6.80128303447162,3,1.0,2.0,3.0,6.80128303447162,1,0.0,58,98
6,1,6.704414354964107,3,0.0,0.0,4.0,6.704414354964107,1,0.0,17,17
6,2,7.106606137727303,3,2.0,6.0,3.0,7.106606137727303,2,3.0,36,36
5,1,7.101675971619444,3,1.0,3.0,3.0,6.876264611890766,1,0.0,57,106
8,3,7.839131648274333,4,3.0,12.0,4.0,7.19668657083435,2,3.0,10,11
6,2,7.411556287811163,3,2.0,12.0,4.0,6.637258031284457,2,3.0,16,17
5,2,7.569411792450712,4,1.0,3.0,3.0,7.142827401161621,2,4.0,13,71
8,3,7.754481547470383,5,3.0,12.0,5.0,7.064759027791802,2,4.0,4,4
6,3,7.174724309836376,4,2.0,12.0,4.0,7.174724309836376,2,4.0,4,4
5,1,7.142827401161621,4,2.0,12.0,3.0,7.142827401161621,2,4.0,9,43
9,3,7.590852123688581,5,3.0,12.0,5.0,7.590852123688581,2,4.0,1,2
6,1,6.937314081223682,3,1.0,3.0,3.0,6.202535517187923,1,0.0,34,34
7,2,7.1853870155804165,4,2.0,12.0,4.0,6.492239835020471,2,0.0,4,4
7,2,7.7458682297922685,4,3.0,12.0,4.0,7.109062135687172,2,3.0,10,10
4,1,6.80903930604298,3,1.0,2.0,3.0,6.115892125483034,1,0.0,58,71
7,2,7.231287004327616,3,2.0,12.0,4.0,6.621405651764134,2,3.0,11,11
6,1,7.164720378771857,3,2.0,12.0,3.0,7.164720378771857,2,0.0,52,52
9,3,7.510977752014095,4,3.0,6.0,5.0,7.510977752014095,2,4.0,0,0
4,1,6.773080375655535,3,2.0,3.0,3.0,6.773080375655535,1,0.0,35,35
5,1,7.098375638590786,3,1.0,12.0,0.0,7.098375638590786,1,0.0,56,56
9,3,7.645397699428633,5,2.0,12.0,5.0,7.393263094763838,2,4.0,0,1
7,2,7.593877844605118,4,2.0,12.0,4.0,6.741700694652055,2,4.0,5,5
7,2,7.254177846456518,4,2.0,12.0,4.0,6.561030665896573,2,4.0,6,6
5,1,7.160845906664299,3,1.0,3.0,2.0,6.714170529909472,1,0.0,56,65
6,2,7.475339236566737,4,2.0,12.0,4.0,6.833031732786201,2,0.0,12,12
7,2,7.508238774678663,4,2.0,12.0,4.0,6.833031732786201,2,0.0,7,8
6,1,7.069874128458572,3,2.0,3.0,3.0,6.704414354964107,1,4.0,56,72
5,1,7.377758908227872,3,1.0,12.0,3.0,7.377758908227872,1,4.0,9,49
8,3,7.093404625868766,3,2.0,12.0,4.0,7.093404625868766,2,0.0,19,19
5,1,7.310550158534422,4,2.0,12.0,3.0,7.310550158534422,2,0.0,48,48
6,2,7.822044008185619,4,2.0,6.0,4.0,7.154615356913663,2,3.0,17,17
7,2,7.640123172695364,4,1.0,3.0,4.0,7.151485463904735,1,4.0,5,83
7,2,7.629003889652957,4,1.0,8.0,4.0,6.927557906278317,1,4.0,19,70
4,1,6.854354502255021,3,1.0,6.0,3.0,6.854354502255021,1,0.0,53,53
7,2,7.457609289715606,4,2.0,12.0,4.0,6.741700694652055,2,4.0,4,4
5,1,7.410951875583635,3,1.0,3.0,3.0,6.90875477931522,2,4.0,27,79
6,1,7.283448228756631,4,2.0,6.0,3.0,6.75110146893676,2,3.0,35,35
6,2,7.272398392570047,4,4.0,6.0,4.0,7.272398392570047,2,0.0,13,13
7,2,7.477604243197589,4,2.0,12.0,4.0,6.763884908562435,2,0.0,3,3
8,2,7.41336733569524,4,3.0,12.0,4.0,7.41336733569524,2,4.0,1,1
9,3,7.859026979751538,5,3.0,12.0,5.0,7.460490305825338,2,4.0,0,0
7,1,7.443663683115591,4,2.0,3.0,4.0,6.877296071497429,2,0.0,2,2
7,2,7.466799475018602,4,2.0,12.0,4.0,6.752270376141742,2,0.0,7,7
7,2,7.3864708488298945,4,2.0,12.0,4.0,7.3864708488298945,2,4.0,1,1
5,1,7.681560362559537,4,2.0,3.0,3.0,6.833031732786201,2,0.0,16,109
8,1,7.479864131165026,4,2.0,3.0,3.0,6.812345094177479,2,0.0,8,97
5,2,6.787844982309579,3,1.0,12.0,3.0,6.787844982309579,1,0.0,23,23
5,1,7.103322062526113,3,1.0,12.0,3.0,7.103322062526113,1,0.0,52,52
6,2,7.463363045520021,3,2.0,6.0,3.0,6.947937068614969,1,4.0,39,39
8,3,7.897296472595885,4,3.0,12.0,5.0,7.497761700622568,2,4.0,5,5
4,2,7.370230641807081,3,2.0,6.0,0.0,7.02108396428914,2,4.0,49,49
7,2,7.560080465021827,4,2.0,12.0,3.0,7.108244139731541,3,3.0,14,38
5,1,6.954638864880987,3,1.0,6.0,3.0,6.954638864880987,1,0.0,51,51
8,2,7.971776122880628,4,2.0,12.0,4.0,7.971776122880628,2,4.0,32,32
5,1,7.711101251840158,3,2.0,12.0,0.0,7.003065458786462,2,0.0,28,28
6,2,7.416979621381154,3,2.0,3.0,3.0,7.416979621381154,2,0.0,28,28
4,1,7.003065458786462,3,1.0,12.0,3.0,7.003065458786462,1,1.0,48,48
6,2,7.40671073017764,3,2.0,12.0,4.0,6.859614903654202,2,3.0,7,8
7,3,7.776954403322442,4,3.0,12.0,4.0,7.010311867307229,2,3.0,9,9
5,2,7.247080584585756,3,2.0,6.0,3.0,7.247080584585756,2,1.0,9,40
5,1,6.92951677076365,3,1.0,3.0,3.0,6.92951677076365,1,0.0,3,99
5,1,7.234898420314831,3,1.0,12.0,3.0,7.234898420314831,1,3.0,31,39
7,2,7.784473235736469,3,1.0,6.0,3.0,7.095893221097532,2,3.0,60,70
6,2,7.321188556739478,4,2.0,3.0,4.0,6.628041376179533,2,0.0,9,9
6,2,7.168579897264035,3,1.0,3.0,3.0,6.63200177739563,2,4.0,2,86
7,1,7.299797366758161,4,2.0,12.0,4.0,7.299797366758161,2,0.0,1,7
6,2,7.241366283322318,4,2.0,12.0,4.0,6.410174881966167,2,4.0,2,2
9,3,7.428927194802272,5,2.0,12.0,5.0,7.428927194802272,2,5.0,3,3
5,1,7.398174092970465,4,1.0,3.0,3.0,6.934397209928558,1,4.0,1,62
7,1,7.261225091971921,3,1.0,6.0,3.0,7.261225091971921,2,4.0,58,87
5,1,6.927557906278317,3,1.0,6.0,3.0,6.927557906278317,2,0.0,44,44
7,2,7.302496423727326,4,2.0,12.0,4.0,7.302496423727326,2,0.0,5,6
7,2,7.313886831633462,4,2.0,12.0,4.0,7.313886831633462,2,0.0,10,10
8,3,7.588829878307813,4,3.0,12.0,4.0,6.983789965258135,2,5.0,8,8
5,2,6.739336627357174,4,1.0,6.0,3.0,6.739336627357174,1,0.0,3,26
5,1,7.305188215393037,3,2.0,12.0,0.0,7.305188215393037,1,5.0,4,54
7,2,7.577633832602728,4,2.0,6.0,3.0,7.036148493750536,1,3.0,2,69
6,1,6.9957661563048505,3,2.0,3.0,3.0,6.263398262591624,1,0.0,33,33
7,3,7.450079569807499,4,2.0,12.0,4.0,7.450079569807499,2,3.0,14,14
5,2,7.454719949364001,3,2.0,3.0,3.0,7.454719949364001,2,0.0,30,30
5,1,7.135687347028144,4,1.0,12.0,3.0,7.135687347028144,1,0.0,49,49
5,1,7.01571242048723,3,2.0,12.0,3.0,7.01571242048723,1,0.0,47,47
6,1,7.416979621381154,3,2.0,3.0,3.0,6.911747300251674,2,4.0,56,59
7,2,7.696212639346407,4,2.0,12.0,4.0,7.00397413672268,2,3.0,14,15
8,2,7.495541943884256,4,3.0,12.0,5.0,7.495541943884256,2,4.0,4,4
4,1,7.419979923661835,3,1.0,4.0,3.0,6.996681488176539,1,0.0,56,82
5,1,7.042286171939743,3,1.0,12.0,3.0,7.042286171939743,1,3.0,26,48
6,1,7.434847875211999,3,2.0,3.0,3.0,7.237059026124737,2,4.0,58,83
8,3,7.409741954080923,5,2.0,12.0,4.0,7.409741954080923,2,0.0,7,7
5,1,6.774223886357614,3,1.0,2.0,3.0,6.774223886357614,1,0.0,16,78
7,2,6.987490247000991,3,2.0,12.0,5.0,6.987490247000991,1,2.0,30,30
5,1,7.31986492980897,4,2.0,12.0,3.0,7.31986492980897,2,0.0,43,43
9,3,7.444248649496705,5,2.0,12.0,5.0,7.444248649496705,2,4.0,1,1
5,1,7.127693699347399,4,1.0,12.0,3.0,7.127693699347399,1,0.0,16,51
6,2,7.269616749608169,3,1.0,3.0,3.0,6.746412128573375,1,4.0,57,86
6,1,7.543273346705446,4,2.0,12.0,3.0,7.543273346705446,2,4.0,8,44
7,2,7.10002716662926,4,2.0,12.0,4.0,7.10002716662926,2,0.0,8,8
7,2,7.106606137727303,4,2.0,12.0,4.0,7.106606137727303,2,4.0,3,4
6,2,7.432483807917119,3,2.0,12.0,4.0,6.854354502255021,2,3.0,7,7
7,2,7.489412083508719,3,2.0,12.0,3.0,6.77078942390898,2,3.0,7,7
4,1,7.035268599281097,3,1.0,3.0,3.0,6.436150368369428,1,0.0,58,79
8,2,7.6246189861593985,4,2.0,3.0,5.0,6.977281341630747,2,4.0,3,4
6,1,7.254177846456518,3,2.0,6.0,4.0,7.254177846456518,1,3.0,6,50
6,2,7.596392304064196,3,2.0,3.0,3.0,6.999422467507961,1,4.0,57,75
5,2,7.450660796211539,3,2.0,3.0,3.0,7.450660796211539,2,3.0,48,48
6,1,7.2115567333138015,4,0.0,0.0,3.0,6.650279048587422,1,0.0,1,93
7,2,7.734996194022781,3,2.0,12.0,3.0,7.173191742486599,2,3.0,53,53
7,3,7.336285660021297,4,2.0,12.0,4.0,7.336285660021297,2,0.0,6,6
7,1,7.676473646389156,4,2.0,12.0,3.0,7.103322062526113,2,4.0,40,40
5,2,7.261225091971921,3,3.0,3.0,4.0,7.261225091971921,1,0.0,17,38
5,1,7.267525427828172,3,2.0,6.0,3.0,7.267525427828172,1,4.0,16,45
3,2,7.617759576608505,3,4.0,6.0,0.0,7.617759576608505,1,0.0,54,54
6,1,7.605392364814935,3,3.0,3.0,3.0,7.198183577101943,2,4.0,56,78
6,2,7.726212650507529,4,2.0,12.0,4.0,6.917705609835305,2,3.0,7,7
7,2,7.631431664576906,3,2.0,12.0,4.0,7.07326971745971,2,4.0,18,19
5,1,6.802394763324311,3,1.0,3.0,3.0,6.802394763324311,1,0.0,43,43
7,2,7.329749689041512,4,2.0,12.0,4.0,7.329749689041512,2,0.0,6,6
5,1,7.284820912568604,3,2.0,6.0,3.0,7.284820912568604,1,3.0,39,39
4,1,6.866933284461882,3,1.0,3.0,3.0,6.866933284461882,1,0.0,53,53
8,2,7.804659297056102,4,2.0,12.0,4.0,7.098375638590786,2,3.0,8,9
5,1,7.076653815443951,3,0.0,0.0,3.0,6.489204931325317,1,0.0,10,96
8,3,7.655864017616056,4,3.0,12.0,4.0,7.655864017616056,2,3.0,13,13
7,3,7.477038472319696,4,2.0,16.0,4.0,6.96979066990159,2,3.0,19,19
5,1,7.119635638017636,4,1.0,6.0,3.0,7.119635638017636,1,2.0,10,49
7,2,7.349230824613334,4,3.0,12.0,4.0,7.349230824613334,2,3.0,2,2
6,1,7.700747794511798,2,1.0,2.0,3.0,7.071573364211532,2,0.0,57,127
7,2,7.212294468500341,4,2.0,12.0,4.0,6.442540166468199,2,4.0,1,1
7,2,7.344072850573066,4,2.0,6.0,4.0,6.638567789166521,2,0.0,1,1
6,1,7.102499355774649,4,2.0,6.0,3.0,6.579251212010101,1,0.0,57,67
6,2,7.383989457978509,4,2.0,12.0,3.0,7.383989457978509,2,3.0,9,33
7,2,7.4205789054108,4,3.0,12.0,4.0,7.4205789054108,2,4.0,0,0
6,1,7.419380582918692,3,1.0,6.0,3.0,7.013915474810528,1,0.0,4,59
6,2,7.328437352895162,3,2.0,12.0,4.0,7.328437352895162,2,3.0,32,32
8,2,7.79934339821592,4,2.0,12.0,4.0,7.333676395657684,2,3.0,6,6
5,1,6.895682697747868,3,2.0,3.0,3.0,6.895682697747868,1,0.0,46,46
7,3,7.3864708488298945,4,3.0,12.0,4.0,7.3864708488298945,2,0.0,1,2
5,1,7.366445148327599,3,1.0,2.0,3.0,6.901737206656574,2,4.0,59,71
6,1,7.044032897274685,3,1.0,6.0,3.0,7.044032897274685,1,4.0,43,43
7,2,7.360739903058278,4,2.0,12.0,4.0,7.360739903058278,2,0.0,7,7
4,1,7.02197642307216,3,2.0,12.0,4.0,7.02197642307216,2,0.0,6,7
7,2,7.059617628291383,3,2.0,6.0,3.0,7.059617628291383,1,0.0,37,37
9,2,7.476472381163905,5,3.0,12.0,5.0,7.476472381163905,2,4.0,0,0
7,2,7.350516171833998,4,2.0,12.0,4.0,7.350516171833998,2,3.0,2,3
5,1,6.761572768804055,3,1.0,12.0,3.0,6.761572768804055,1,0.0,42,42
3,1,7.370230641807081,3,0.0,0.0,2.0,7.370230641807081,2,0.0,16,59
4,1,6.835184586147301,3,1.0,12.0,4.0,6.835184586147301,1,0.0,55,55
6,2,7.305188215393037,3,2.0,12.0,4.0,7.305188215393037,2,4.0,39,39
6,2,7.028201432058005,3,2.0,6.0,3.0,7.028201432058005,1,3.0,43,43
5,1,7.461640392208575,5,1.0,2.0,3.0,6.866933284461882,1,4.0,58,88
6,2,7.049254841255837,4,1.0,6.0,3.0,7.049254841255837,1,4.0,5,59
8,3,7.77863014732581,4,3.0,12.0,5.0,6.960347729101308,2,4.0,0,0
5,1,6.841615476477592,3,1.0,6.0,3.0,6.841615476477592,1,0.0,31,52
8,2,7.867105500316739,5,2.0,12.0,4.0,7.076653815443951,2,4.0,0,0
5,1,7.142036574706803,3,2.0,6.0,3.0,7.142036574706803,1,4.0,50,50
7,2,7.477604243197589,4,2.0,12.0,4.0,6.784457062637643,2,0.0,5,5
5,1,7.033506484287697,3,1.0,3.0,3.0,6.628041376179533,1,0.0,57,67
9,3,7.86288203464149,4,3.0,12.0,4.0,7.259819610363186,2,3.0,11,11
6,2,7.063903961472068,3,2.0,12.0,4.0,7.063903961472068,2,3.0,12,13
6,1,7.665753431861699,4,2.0,3.0,3.0,7.275864600546533,2,0.0,15,93
7,2,7.569927655242652,4,3.0,12.0,4.0,6.975413927455952,2,3.0,8,8
8,2,7.048386408721883,4,2.0,12.0,4.0,7.048386408721883,2,0.0,0,1
7,2,7.416979621381154,4,2.0,12.0,4.0,7.416979621381154,2,3.0,22,29
6,2,7.8009820712577405,4,3.0,12.0,4.0,7.05444965813294,2,4.0,3,3
6,2,7.402451520818244,4,2.0,3.0,3.0,7.402451520818244,1,4.0,2,54
7,2,7.421177528595393,3,2.0,3.0,3.0,7.022868086082641,2,4.0,56,77
6,1,7.284820912568604,3,1.0,6.0,3.0,6.815639990074331,1,4.0,60,62
4,1,6.664409020350408,3,0.0,0.0,3.0,6.664409020350408,1,0.0,53,53
6,2,7.423568444259167,4,2.0,12.0,5.0,7.423568444259167,2,0.0,8,9
7,2,7.238496840894365,4,2.0,3.0,4.0,6.555356891810665,2,0.0,1,1
7,2,7.4318919168078,4,2.0,12.0,4.0,7.4318919168078,2,0.0,0,1
6,2,7.489970898834801,3,2.0,12.0,3.0,6.919683849847411,1,3.0,34,34
7,1,6.961296045910167,3,1.0,6.0,4.0,6.961296045910167,2,0.0,29,29
6,1,6.984716320118266,3,1.0,6.0,3.0,6.984716320118266,1,0.0,50,50
8,2,7.302496423727326,5,2.0,12.0,4.0,7.302496423727326,2,4.0,1,1
7,1,7.152268856032539,3,2.0,6.0,3.0,7.152268856032539,1,1.0,37,37
6,1,7.060476365999801,3,2.0,16.0,3.0,7.060476365999801,1,0.0,42,42
8,2,7.335633981927201,4,2.0,12.0,4.0,7.335633981927201,2,4.0,1,1
8,2,7.355641102974253,4,2.0,12.0,4.0,7.355641102974253,2,0.0,0,1
6,1,7.311218384419629,3,1.0,3.0,3.0,6.715383386334681,2,0.0,8,71
4,1,7.217443431696533,3,2.0,3.0,2.0,6.608000625296087,1,0.0,60,100
4,1,7.197435354096591,3,1.0,3.0,3.0,6.799055862058796,1,0.0,56,86
7,2,7.32052696227274,4,2.0,12.0,4.0,7.32052696227274,2,3.0,4,4
4,1,6.85751406254539,3,1.0,3.0,3.0,6.85751406254539,1,0.0,56,70
4,1,7.333676395657684,3,1.0,2.0,3.0,7.063903961472068,1,3.0,31,63
8,2,7.487733761436444,4,3.0,12.0,5.0,7.487733761436444,2,4.0,5,6
8,2,7.48324441607385,5,2.0,12.0,5.0,7.48324441607385,2,4.0,0,1
5,2,6.897704943128636,3,1.0,12.0,3.0,6.897704943128636,1,0.0,15,15
5,2,6.897704943128636,3,2.0,6.0,4.0,6.897704943128636,1,0.0,11,11
6,1,7.273786317844895,3,1.0,12.0,3.0,7.273786317844895,1,0.0,49,49
6,1,7.007600613951853,3,1.0,3.0,3.0,7.007600613951853,1,0.0,52,52
10,3,7.736307096548285,5,3.0,12.0,5.0,7.736307096548285,2,4.0,0,0
7,2,7.378383712996714,3,2.0,12.0,4.0,7.378383712996714,2,3.0,31,31
9,3,7.922261058353247,5,3.0,12.0,5.0,7.451241684987676,2,5.0,1,2
6,1,6.894670039433482,4,1.0,3.0,3.0,6.180016653652572,1,0.0,2,37
6,1,6.97914527506881,4,1.0,6.0,3.0,6.97914527506881,1,3.0,23,60
5,1,7.168579897264035,3,2.0,3.0,3.0,7.168579897264035,2,0.0,46,46
5,1,6.761572768804055,3,0.0,0.0,3.0,6.761572768804055,1,0.0,58,83
5,1,7.090076835776092,3,0.0,0.0,4.0,7.090076835776092,3,0.0,21,22
5,1,6.960347729101308,3,1.0,3.0,3.0,6.960347729101308,1,0.0,15,61
6,1,7.304515946460155,3,1.0,3.0,3.0,6.682108597449809,1,4.0,60,65
4,1,7.301147805856032,3,2.0,3.0,3.0,7.301147805856032,2,4.0,38,52
8,3,7.8961806086154915,4,2.0,12.0,4.0,7.639642287858013,2,0.0,12,12
8,2,7.567862605463882,3,2.0,12.0,4.0,6.723832440821209,2,0.0,0,0
5,1,6.782192056006791,3,1.0,3.0,0.0,6.782192056006791,1,0.0,52,52
5,2,7.356918242356021,3,2.0,3.0,3.0,6.733401891837359,1,3.0,59,69
6,2,7.272398392570047,4,2.0,12.0,4.0,7.272398392570047,2,3.0,26,26
8,2,7.406103381237015,4,2.0,12.0,5.0,7.406103381237015,2,4.0,1,2
6,1,6.837332814685591,4,1.0,6.0,3.0,6.837332814685591,1,4.0,57,57
3,1,7.075808863978387,3,1.0,3.0,3.0,6.520621127558696,1,0.0,5,59
5,1,7.454719949364001,3,2.0,3.0,3.0,7.454719949364001,2,4.0,53,53
6,2,7.195937226475569,3,2.0,12.0,4.0,7.195937226475569,2,3.0,32,32
8,2,7.228388451573604,4,2.0,12.0,4.0,7.228388451573604,2,4.0,3,3
8,2,7.321849713788356,4,2.0,12.0,4.0,7.321849713788356,2,3.0,9,10
6,1,7.179307969504034,3,2.0,3.0,3.0,6.802394763324311,1,0.0,56,59
5,1,6.946975992135418,3,1.0,3.0,3.0,6.946975992135418,1,0.0,43,43
5,1,6.806829360392176,3,1.0,6.0,3.0,6.806829360392176,1,0.0,42,42
7,1,7.706612913964197,3,2.0,12.0,4.0,7.706612913964197,2,4.0,34,34
7,2,6.984716320118266,4,0.0,0.0,4.0,6.984716320118266,1,0.0,3,4
6,2,7.362010551259734,4,2.0,12.0,4.0,7.362010551259734,2,0.0,15,15
4,1,7.591357046698551,4,2.0,3.0,3.0,7.191429330036379,2,3.0,59,81
7,2,7.182352111885263,4,2.0,12.0,4.0,7.182352111885263,2,4.0,0,0
8,2,7.309212365692763,4,2.0,12.0,4.0,7.309212365692763,1,4.0,12,13
5,1,6.895682697747868,3,1.0,3.0,3.0,6.895682697747868,1,0.0,41,41
5,2,7.1308988302963465,3,2.0,3.0,3.0,6.493753839851686,2,4.0,4,97
5,2,7.00033446027523,3,2.0,6.0,4.0,7.00033446027523,1,0.0,14,15
4,1,7.2868764117507,3,1.0,3.0,3.0,6.723832440821209,2,0.0,13,60
5,1,7.29641326877392,3,1.0,6.0,4.0,6.829793737512425,2,3.0,32,32
5,1,6.856461984594587,3,2.0,3.0,3.0,6.856461984594587,1,0.0,55,55
6,2,7.259819610363186,4,2.0,12.0,4.0,6.556778356158042,2,4.0,3,4
5,1,6.912742820493176,3,1.0,6.0,3.0,6.912742820493176,1,3.0,50,50
5,1,6.778784897685177,3,1.0,3.0,3.0,6.778784897685177,1,0.0,56,70
7,2,7.203405521083095,3,4.0,12.0,4.0,7.203405521083095,2,0.0,10,11
5,1,6.828712071641684,3,2.0,3.0,3.0,6.51025834052315,1,1.0,1,58
5,1,7.560080465021827,4,2.0,6.0,3.0,7.132497551660044,2,4.0,48,48
6,2,7.098375638590786,3,2.0,6.0,3.0,7.098375638590786,2,0.0,31,31
7,2,7.45298232946546,3,2.0,12.0,3.0,6.946975992135418,2,3.0,28,28
7,2,7.951559331155252,4,4.0,12.0,4.0,7.258412150595307,2,4.0,30,30
5,1,7.168579897264035,3,1.0,3.0,3.0,6.74993119378857,1,4.0,59,68
