ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,location,house,garage,basement,age_at_sale,remod_age_at_sale,log_saleprice,log_gr_liv_area,log_lot_area,log_1st_flr_sf
1,1,21.0,1680,1,Lvl,1,1,2,1,2,6,5,1971,1971,Gable,1,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1,1,387.0,Unf,0.0,96.0,483.0,3,483,504,0,987,0.0,0.0,1,1,2,1,3,4,0,0.0,1,1971.0,1,1.0,264.0,3.0,0,0,0,0,0,0,0,0,7,2008,COD,85400,5,5,3.0,8.0,37,37,11.355101379776661,6.894670039433482,7.426549072397305,6.180016653652572
2,2,64.0,7488,2,Lvl,1,2,2,2,1,7,5,2005,2005,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2,2,393.0,Unf,0.0,815.0,1208.0,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,0,0.0,2,2005.0,2,2.0,632.0,3.0,105,58,0,0,0,0,0,0,2,2006,WD ,183600,7,7,12.0,11.0,1,1,12.120514757168527,7.0967213784947605,8.921057018157429,7.0967213784947605
1,2,120.0,26400,1,Bnk,1,2,1,2,2,5,7,1880,2007,Gable,1,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,1,3.0,2,1900.0,1,2.0,576.0,3.0,0,0,0,0,0,0,0,0,6,2009,WD ,131000,6,6,6.0,0.0,129,2,11.782952602183288,7.60887062919126,10.181119289134408,7.160845906664299
1,2,24.0,2645,1,Lvl,1,2,2,1,2,8,5,1999,2000,Gable,1,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1,2,813.0,Unf,0.0,147.0,960.0,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,0,0.0,1,2000.0,1,2.0,480.0,3.0,169,0,0,0,0,0,0,0,12,2008,ConLD,200000,7,5,3.0,10.0,9,8,12.206072645530174,7.382124365737512,7.8804263442924,6.8690144506657065
2,2,74.0,9627,1,Lvl,1,2,2,2,1,7,5,2007,2007,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2,2,24.0,Unf,0.0,1327.0,1351.0,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,0,0.0,2,2007.0,2,2.0,610.0,3.0,0,50,0,0,0,0,0,0,6,2008,WD ,193000,7,7,12.0,11.0,1,1,12.170445467887022,7.215975002651466,9.172326929777967,7.215975002651466
2,2,93.0,10114,1,Lvl,1,2,2,2,1,5,5,2004,2005,Gable,2,VinylSd,None,0.0,3,3,PConc,5.0,3.0,2,1,0.0,Unf,0.0,1430.0,1430.0,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,0,0.0,2,2004.0,2,2.0,624.0,3.0,0,0,0,0,0,0,0,0,3,2010,WD ,173500,7,7,12.0,11.0,6,5,12.063932878369052,7.265429723253953,9.221675881639928,7.265429723253953
1,1,34.0,4571,1,Lvl,1,1,2,2,2,5,5,1916,1950,Gable,1,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1,1,0.0,Unf,0.0,624.0,624.0,2,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,0,0.0,1,1916.0,1,3.0,513.0,2.0,0,0,96,0,0,0,0,0,5,2008,COD,98000,5,6,2.0,8.0,92,58,11.49272275765271,7.203405521083095,8.427487278331744,6.436150368369428
2,2,80.0,8816,1,Lvl,2,1,1,2,1,5,6,1963,1963,Gable,2,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1,1,651.0,Unf,0.0,470.0,1121.0,3,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,0,0.0,1,1963.0,1,2.0,480.0,3.0,0,80,0,0,0,0,MnPrv,0,6,2009,WD ,139000,6,7,3.0,8.0,46,46,11.842229212112828,7.02197642307216,9.084323531392696,7.02197642307216
2,2,71.0,8197,1,Lvl,1,1,2,2,1,6,5,1977,1977,Gable,1,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1,1,0.0,Unf,0.0,660.0,660.0,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,1,3.0,2,1977.0,2,2.0,528.0,3.0,138,0,0,0,0,0,MnPrv,0,4,2007,WD ,143500,6,6,12.0,8.0,30,30,11.874090314181814,7.158513997329321,9.011523512653032,7.158513997329321
2,2,72.0,8640,1,Lvl,1,2,2,2,2,7,5,2009,2009,Gable,2,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2,2,24.0,Unf,0.0,732.0,756.0,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,0,0.0,2,2009.0,1,2.0,614.0,3.0,169,45,0,0,0,0,0,0,6,2010,Con,215200,7,8,6.0,11.0,1,1,12.279323107269766,7.344072850573066,9.064157861798101,6.638567789166521
2,2,109.0,8724,1,Lvl,1,1,2,2,1,5,5,1968,1968,Gable,2,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1,1,492.0,Unf,0.0,402.0,894.0,4,894,0,0,894,0.0,0.0,1,0,3,1,3,5,1,1.0,2,1968.0,2,2.0,450.0,3.0,0,0,0,0,0,0,0,0,5,2007,WD ,129000,6,7,12.0,9.0,39,39,11.76756768334381,6.795705775173514,9.07383312732152,6.795705775173514
2,2,40.0,5664,2,Lvl,1,3,2,2,1,8,5,2000,2000,Gable,2,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1,2,1158.0,Unf,0.0,343.0,1501.0,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,1,5.0,2,2000.0,2,2.0,499.0,3.0,212,59,0,0,0,0,0,0,10,2009,WD ,278000,8,7,12.0,10.0,9,9,12.535376392672774,7.413970290190444,8.641885635373555,7.413970290190444
2,2,103.0,12867,2,Lvl,2,3,2,2,2,8,5,2005,2006,Gable,2,CmentBd,0,0.0,4,3,PConc,5.0,3.0,2,1,0.0,Unf,0.0,1209.0,1209.0,5,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,1,4.0,2,2005.0,2,2.0,575.0,3.0,243,142,0,0,0,0,0,0,7,2006,New,344133,9,8,12.0,11.0,1,0,12.748783489541202,7.720017940432244,9.46242117318499,7.097548850614793
2,2,0.0,7980,2,Lvl,1,2,2,2,1,6,7,1992,2007,Gable,1,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1,1,935.0,Unf,0.0,233.0,1168.0,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,0,0.0,2,1992.0,2,2.0,420.0,3.0,483,21,0,0,0,0,GdPrv,500,3,2010,WD ,185000,7,6,12.0,9.0,18,3,12.128111104060462,7.079184394609668,8.984693690443855,7.079184394609668
1,2,100.0,34650,1,Bnk,1,2,2,1,1,5,5,1955,1955,Hip,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2,1,1056.0,Unf,0.0,0.0,1056.0,3,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,0,0.0,2,1955.0,2,2.0,572.0,3.0,264,0,0,0,0,0,0,0,1,2006,WD ,145000,7,4,12.0,9.0,51,51,11.884489021402711,6.962243464266207,10.453053004618049,6.962243464266207
2,2,92.0,10573,2,Lvl,2,1,2,2,1,6,6,1961,1961,Hip,1,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1,1,1312.0,Unf,0.0,141.0,1453.0,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,1,3.0,2,1961.0,2,2.0,530.0,3.0,0,49,0,0,288,0,GdPrv,0,4,2009,WD ,187500,7,6,12.0,8.0,48,48,12.141534124392603,7.2813856635702825,9.266058860732526,7.2813856635702825
2,2,65.0,8450,1,Lvl,1,1,1,2,1,5,8,1965,2009,Gable,1,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1,2,553.0,BLQ,117.0,224.0,894.0,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,1,4.0,1,1973.0,1,1.0,336.0,3.0,416,144,0,0,0,0,MnPrv,0,4,2010,WD ,138500,5,6,3.0,9.0,45,1,11.83862560460953,6.795705775173514,9.041921720351219,6.795705775173514
1,2,0.0,11700,2,HLS,1,2,2,2,1,5,6,1937,1995,Gable,1,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1,1,606.0,Unf,0.0,336.0,942.0,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,1,4.0,1,1937.0,1,1.0,240.0,3.0,0,40,0,0,0,0,0,0,7,2008,WD ,198000,7,5,3.0,8.0,71,13,12.196022309676673,7.569411792450712,9.367344120785848,7.142827401161621
1,1,75.0,8250,1,Lvl,1,1,1,1,2,5,6,1895,2006,Gable,2,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1,1,0.0,Unf,0.0,957.0,957.0,2,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,133,0,0,0,0,0,6,2007,WD ,119600,4,6,0.0,8.0,112,1,11.691908120498669,7.596392304064196,9.017968479328726,6.9411900550683745
1,2,60.0,8064,1,Lvl,2,1,1,2,1,5,7,1949,2006,Gable,1,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2,1,0.0,Unf,0.0,672.0,672.0,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,1,1.0,1,2003.0,1,2.0,576.0,3.0,0,0,0,0,0,0,MnPrv,2000,7,2007,WD ,122900,6,5,3.0,9.0,58,1,11.719126295554126,6.828712071641684,8.99516499031115,6.51025834052315
2,2,80.0,9600,1,Lvl,1,2,2,2,1,8,5,1981,1981,Hip,2,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1,1,1104.0,Unf,0.0,1420.0,2524.0,3,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,1,4.0,2,1981.0,2,2.0,542.0,3.0,474,120,0,0,0,0,MnPrv,0,7,2009,WD ,278000,7,7,12.0,9.0,28,28,12.535376392672774,7.8336002236611035,9.169518377455928,7.8336002236611035
1,2,0.0,11435,2,HLS,2,2,2,2,2,8,7,1929,1950,Gable,2,Stucco,None,0.0,3,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,792.0,792.0,2,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,2,4.0,1,1931.0,1,2.0,400.0,3.0,0,0,0,0,0,0,0,0,6,2006,WD ,230000,8,7,3.0,9.0,77,56,12.345834587905333,7.324489979348532,9.344434106456882,6.674561391814426
2,2,30.0,9549,2,Lvl,2,2,2,2,1,8,5,1995,1996,Hip,2,BrkFace,None,0.0,4,4,PConc,4.0,4.0,2,1,437.0,GLQ,1057.0,0.0,1494.0,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,1,4.0,2,1995.0,2,2.0,481.0,3.0,0,30,0,0,216,0,0,0,4,2006,WD ,270000,8,7,12.0,11.0,11,10,12.506177237980511,7.309212365692763,9.164191715950203,7.309212365692763
2,2,60.0,10950,1,Lvl,1,1,2,2,1,6,6,1952,1952,Hip,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,441.0,Unf,0.0,507.0,948.0,3,948,0,0,948,0.0,0.0,1,0,2,1,3,5,0,0.0,1,1952.0,1,2.0,410.0,3.0,0,48,0,0,0,0,0,0,4,2007,WD ,125000,6,6,3.0,8.0,55,55,11.736069016284437,6.854354502255021,9.301094735244646,6.854354502255021
2,2,79.0,10637,1,Lvl,1,2,2,2,1,8,5,2007,2008,Hip,2,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,2,2,1288.0,Unf,0.0,417.0,1705.0,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,1,4.0,2,2007.0,2,3.0,826.0,3.0,208,44,0,0,0,0,0,0,9,2009,WD ,297000,7,7,12.0,12.0,2,1,12.601487417784837,7.4489161025442,9.272093768251665,7.4489161025442
2,2,80.0,9000,2,HLS,1,1,2,2,1,6,6,1958,1958,Flat,1,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,2,1,0.0,Unf,0.0,160.0,160.0,2,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,1,4.0,1,1958.0,2,1.0,384.0,3.0,0,28,64,0,0,0,0,0,4,2009,WD ,113500,6,6,6.0,10.0,51,51,11.639558115903595,7.040536390215956,9.104979856318357,7.040536390215956
1,1,41.0,2665,1,Lvl,1,1,2,2,2,5,6,1977,1977,Gable,2,CmentBd,None,0.0,3,3,PConc,3.0,3.0,1,1,548.0,Rec,173.0,36.0,757.0,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,1,3.0,2,1977.0,2,1.0,336.0,3.0,104,26,0,0,0,0,0,0,7,2006,WD ,127000,5,7,12.0,8.0,29,29,11.751942365440728,7.29641326877392,7.887959336599945,6.829793737512425
2,2,105.0,11751,2,Lvl,1,2,2,2,1,6,6,1977,1977,Hip,1,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,1,1,705.0,Unf,0.0,1139.0,1844.0,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,1,3.0,2,1977.0,2,2.0,546.0,3.0,0,122,0,0,0,0,MnPrv,0,1,2010,COD,190000,7,6,12.0,9.0,33,33,12.154779351142624,7.519692404116539,9.371693622333941,7.519692404116539
2,2,80.0,9600,1,Lvl,1,2,2,2,1,7,6,1973,1973,Hip,1,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,1,1,916.0,Unf,0.0,326.0,1242.0,2,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,1,3.0,2,1973.0,1,2.0,528.0,3.0,0,0,0,0,0,0,0,0,9,2007,WD ,175500,7,6,6.0,8.0,34,34,12.075394321888057,7.124478262493424,9.169518377455928,7.124478262493424
2,2,60.0,8428,2,Lvl,1,2,2,2,1,5,7,1994,1994,Gable,2,VinylSd,None,0.0,3,4,PConc,4.0,4.0,1,2,420.0,Unf,0.0,570.0,990.0,5,990,0,0,990,1.0,0.0,1,0,3,1,3,5,0,0.0,1,1995.0,1,1.0,384.0,3.0,256,0,0,0,0,0,0,0,7,2007,WD ,146000,7,7,3.0,11.0,13,13,11.891361900690473,6.897704943128636,9.03931477492408,6.897704943128636
2,2,75.0,9937,1,Lvl,1,1,2,2,1,5,6,1965,1965,Gable,1,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,1,1,830.0,LwQ,290.0,136.0,1256.0,4,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,0,0.0,2,1965.0,2,1.0,276.0,3.0,736,68,0,0,0,0,0,0,6,2008,WD ,147500,6,6,12.0,8.0,43,43,11.901583454762012,7.135687347028144,9.204020443231363,7.135687347028144
2,2,107.0,13891,1,Lvl,1,3,2,2,1,10,5,2006,2006,Gable,2,VinylSd,0,0.0,5,3,PConc,5.0,4.0,2,2,1386.0,Unf,0.0,690.0,2076.0,5,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,1,4.0,2,2006.0,2,3.0,850.0,3.0,216,229,0,0,0,0,0,0,9,2006,New,465000,8,7,12.0,13.0,0,0,13.049792684569493,7.638198244285779,9.53899642739739,7.638198244285779
1,2,0.0,9101,2,Lvl,2,2,2,2,1,5,6,1978,1978,Gable,1,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,2,2,1097.0,Unf,0.0,0.0,1097.0,5,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,1,3.0,2,1978.0,2,2.0,602.0,3.0,303,30,0,0,0,0,0,0,7,2009,WD ,165500,8,5,12.0,11.0,31,31,12.016726473799254,7.01211529430638,9.116139576577355,7.01211529430638
1,1,81.0,12150,1,Lvl,1,1,2,2,1,5,5,1954,1954,Gable,1,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1,1,0.0,Unf,0.0,1050.0,1050.0,5,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,0,0.0,2,1954.0,1,1.0,352.0,2.0,0,0,0,0,0,0,0,0,11,2008,WD ,131500,5,5,4.0,8.0,54,54,11.786762130599957,7.492760300922379,9.405084448768694,6.956545443151569
2,2,70.0,11200,1,Lvl,1,1,2,2,1,5,5,1965,1965,Hip,1,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1,1,906.0,Unf,0.0,134.0,1040.0,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,0,0.0,1,1965.0,1,1.0,384.0,3.0,0,0,0,0,0,0,0,0,2,2008,WD ,129500,6,6,3.0,8.0,43,43,11.771436160121729,6.946975992135418,9.323669057283185,6.946975992135418
1,2,100.0,9670,2,HLS,1,2,2,2,2,8,6,1935,1950,Gable,2,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,1,1,210.0,Unf,0.0,398.0,608.0,3,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,2,4.0,1,1935.0,2,2.0,786.0,2.0,0,0,207,0,0,0,0,0,6,2008,WD ,257076,7,7,4.0,7.0,73,58,12.45712704000522,7.5352967024440884,9.17678358844734,6.890609120147166
1,2,60.0,10998,1,Lvl,1,1,2,2,1,5,5,1941,1960,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,408.0,BLQ,420.0,156.0,984.0,5,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,0,0.0,1,1977.0,1,2.0,660.0,3.0,0,68,0,0,0,0,0,0,7,2009,WD ,117000,6,5,3.0,8.0,68,49,11.669929213779893,7.38025578842646,9.30546871706776,6.891625897052253
1,2,60.0,7200,1,HLS,1,2,2,2,2,7,6,1931,2000,Gable,1,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,1,1,0.0,Unf,0.0,776.0,776.0,3,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,1,4.0,2,1931.0,2,1.0,270.0,3.0,0,0,112,0,0,0,MnPrv,0,2,2008,WD ,149000,7,6,12.0,9.0,77,8,11.911701584927597,7.31455283232408,8.881836305004146,6.7464121285733745
2,2,80.0,9920,1,Lvl,1,1,2,2,1,5,5,1954,1954,Gable,1,HdBoard,Stone,110.0,3,3,CBlock,3.0,3.0,1,1,354.0,LwQ,290.0,412.0,1056.0,3,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,0,0.0,2,1954.0,2,1.0,280.0,3.0,0,0,164,0,0,0,MnPrv,0,2,2010,WD ,128000,6,6,12.0,8.0,56,56,11.759785542901755,6.968850378341948,9.20230820027892,6.968850378341948
1,2,36.0,2448,1,Lvl,1,3,2,1,2,7,5,2003,2004,Gable,2,Wd Shng,Stone,106.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,764.0,764.0,5,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,0,0.0,2,2003.0,2,2.0,474.0,3.0,0,27,0,0,0,0,0,0,10,2008,WD ,155000,8,6,12.0,9.0,5,4,11.951180395901384,7.3938782901077555,7.803026643632217,6.638567789166521
1,2,0.0,2998,1,Lvl,1,2,2,2,2,6,5,2000,2000,Gable,1,MetalSd,BrkFace,513.0,4,3,PConc,4.0,3.0,1,2,353.0,Unf,0.0,403.0,756.0,5,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,0,0.0,1,2000.0,1,2.0,440.0,3.0,0,32,0,0,0,0,0,0,6,2006,WD ,166000,7,6,3.0,10.0,6,6,12.01974306733868,7.329093736246592,8.005700678662542,6.643789733147672
1,2,65.0,7804,1,Lvl,1,1,2,2,1,4,3,1928,1950,Gable,1,Plywood,None,0.0,3,3,BrkTil,3.0,3.0,1,1,622.0,Unf,0.0,500.0,1122.0,3,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,2,3.0,1,1981.0,1,2.0,576.0,3.0,431,44,0,0,0,0,MnPrv,0,12,2009,WD ,135000,6,5,3.0,8.0,81,59,11.813030057420567,7.591357046698551,8.962391701743002,7.191429330036379
2,2,80.0,16692,2,Lvl,1,2,1,2,2,7,5,1978,1978,Gable,1,Plywood,BrkFace,184.0,3,3,CBlock,4.0,3.0,1,1,790.0,LwQ,469.0,133.0,1392.0,3,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,2,3.0,2,1978.0,2,2.0,564.0,3.0,0,112,0,0,440,519,MnPrv,2000,7,2006,WD ,250000,6,7,12.0,9.0,28,28,12.429216196844383,7.931644021454311,9.722684841711443,7.238496840894365
1,1,21.0,1476,1,Lvl,1,1,2,1,2,4,7,1970,1970,Gable,2,CmentBd,None,0.0,3,3,CBlock,3.0,3.0,1,2,176.0,Unf,0.0,370.0,546.0,5,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,0,0.0,0,0.0,0,0.0,0.0,0.0,200,26,0,0,0,0,0,0,3,2010,WD ,76000,5,6,0.0,9.0,40,40,11.238488619268468,6.9957661563048505,7.297091005160418,6.302618975744905
2,2,75.0,10170,1,Lvl,2,1,2,2,1,6,6,1951,1951,Hip,1,Wd Sdng,BrkFace,522.0,3,3,CBlock,3.0,3.0,1,1,0.0,Unf,0.0,216.0,216.0,3,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,1,4.0,2,1951.0,1,2.0,400.0,3.0,0,0,0,0,0,0,0,0,6,2006,WD ,155000,7,6,6.0,8.0,55,55,11.951180395901384,7.362010551259734,9.227197489042606,7.362010551259734
